ID		        nm		        lat		        lon		    countryCode
683506	        Bucharest	    44.4323         26.1063	    RO
681290	        Cluj-Napoca	    46.7667         23.6	    RO
671768	        Oradea	        47.0667         21.9333	    RO
1853909         Osaka           34.6937         135.5022    JP
1850144	        Tokyo	        35.6895         139.6917	JP
1848354	        Yokohama	    35.4478         139.6425	JP
3936456         Lima            -12.0432        -77.0282    PE
3947322	        Arequipa	    -16.3989        -71.535	    PE
3688689	        Bogotá	        4.6097          -74.0817	CO
3674962         Medellín        6.2518          -75.5636	CO
1835848         Seoul           37.5683         126.9778	KR
1842616         Sejong          36.4817         127.2871	KR
1832427         Yongin          37.2342         127.2064	KR
264371          Athens          37.9795         23.7162 	GR
734077          Thessaloniki    40.6403         22.9439	    GR
735861          Kavala          40.9397         24.4019 	GR
5809844         Seattle         47.6062         -122.3321 	US
5308655         Phoenix         33.4484         -112.074	US
4887398         Chicago         41.85           -87.65 	    US
4164138         Miami           25.7743         -80.1937 	US
2332453         Lagos           3.75            6.5833	    NG
2335204         Kano            12.0001         8.5167 	    NG
2339354         Ibadan          7.3878          3.8964 	    NG
2147714         Sydney          -33.8679        151.2073	AU
4163971         Brisbane        -27.4679        153.0281 	AU
1275339         Mumbai          19.0144         72.8479	    IN
1273294         Delhi           28.6667         77.2167 	IN
1269843         Hyderabad       7.3753          17.3753	    IN
